Measure,Value,Relationship,First Update,Last Update,Treatment,Seed
Resource Transfer Ratio,1.5504166907428766e-07,Related Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Relationship Frequency,0.7300575086805555,Related Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Total Resource Shared,0.0,Cell Child,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Relationship Incidence,3143344.0,Cell Child,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Total Source Stockpile,7030124.76771189,Cell Child,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Resource Transfer Rate,0.0,Cell Child,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Mean Source Stockpile,2.2365114246839957,Cell Child,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Resource Transfer Ratio,0.0,Cell Child,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Relationship Frequency,0.21317165798611112,Cell Child,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Total Resource Shared,1.9108768889135155,Cell Parent,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Relationship Incidence,3143344.0,Cell Parent,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Total Source Stockpile,4964178.425039897,Cell Parent,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Resource Transfer Rate,6.079121117235389e-07,Cell Parent,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Mean Source Stockpile,1.5792666742933312,Cell Parent,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Resource Transfer Ratio,3.849330120197203e-07,Cell Parent,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Relationship Frequency,0.21317165798611112,Cell Parent,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Total Resource Shared,131.96253990371787,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Relationship Incidence,14745344.0,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Total Source Stockpile,25760756.40305168,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Resource Transfer Rate,8.949437863485441e-06,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
