Measure,Value,Relationship,First Update,Last Update,Treatment,Seed
Mean Source Stockpile,1.747043433035654,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Resource Transfer Ratio,5.122592747227544e-06,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Relationship Frequency,1.0,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Total Resource Shared,16.169728323074626,Parent Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Relationship Incidence,2892192.0,Parent Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Total Source Stockpile,5622958.967160161,Parent Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Resource Transfer Rate,5.590821191357498e-06,Parent Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Mean Source Stockpile,1.9441859209762562,Parent Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Resource Transfer Ratio,2.8756535338376526e-06,Parent Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Relationship Frequency,0.1961427281723641,Parent Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Total Resource Shared,22.835633681361266,Nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Relationship Incidence,5784384.0,Nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Total Source Stockpile,13582882.033696685,Nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Resource Transfer Rate,3.947807351891103e-06,Nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Mean Source Stockpile,2.348198534830448,Nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Resource Transfer Ratio,1.6812039766930251e-06,Nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Relationship Frequency,0.3922854563447282,Nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Total Resource Shared,24.386029808786,Non-nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Relationship Incidence,4458480.0,Non-nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Total Source Stockpile,10045312.82536577,Non-nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Resource Transfer Rate,5.469583761458165e-06,Non-nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Mean Source Stockpile,2.2530801585665454,Non-nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Resource Transfer Ratio,2.427596933343574e-06,Non-nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Relationship Frequency,0.3023652754388097,Non-nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Total Resource Shared,6.665905358286634,Child Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Relationship Incidence,2892192.0,Child Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Total Source Stockpile,7959923.066540424,Child Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Resource Transfer Rate,2.3047935124247054e-06,Child Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Mean Source Stockpile,2.7522111486859875,Child Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Resource Transfer Ratio,8.374326887730523e-07,Child Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Relationship Frequency,0.1961427281723641,Child Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Total Resource Shared,67.19440735809377,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Relationship Incidence,3682128.0,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Total Source Stockpile,1755810.234461255,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
