Measure,FlatEven,FlatWave,NestedEven,NestedWave
Per-cell-update resource inflow,$0.0175 \pm 0$,$0.0145 \pm 0.0008$,$0.0175 \pm 0$,$0.0178 \pm 0.0010$
Per-cell-update cell reproduction,$0.0108 \pm 0.0020$,$0.0094 \pm 0.0018$,$0.0113 \pm 0.0018$,$0.0117 \pm 0.0023$
