Genotype,Neighbor Count,Fraction Cells
Wild Type,1,0.4888888888888889
Wild Type,2,0.28888888888888886
Wild Type,3,0.0
Wild Type,4,0.0
Wild Type,0,0.2222222222222222
Wild Type,1,0.5
Wild Type,2,0.2777777777777778
Wild Type,3,0.0
Wild Type,4,0.0
Wild Type,0,0.34375
Wild Type,1,0.46875
Wild Type,2,0.1875
Wild Type,3,0.0
Wild Type,4,0.0
Messaging Knockout,0,0.07547169811320754
Messaging Knockout,1,0.3584905660377358
Messaging Knockout,2,0.3018867924528302
Messaging Knockout,3,0.20754716981132076
Messaging Knockout,4,0.05660377358490566
Messaging Knockout,0,0.08888888888888889
Messaging Knockout,1,0.36666666666666664
Messaging Knockout,2,0.3
Messaging Knockout,3,0.16666666666666666
Messaging Knockout,4,0.07777777777777778
Messaging Knockout,0,0.18518518518518517
Messaging Knockout,1,0.2962962962962963
Messaging Knockout,2,0.19753086419753085
Messaging Knockout,3,0.14814814814814814
Messaging Knockout,4,0.1728395061728395
Messaging Knockout,0,0.037037037037037035
Messaging Knockout,1,0.1111111111111111
Messaging Knockout,2,0.2962962962962963
Messaging Knockout,3,0.18518518518518517
Messaging Knockout,4,0.37037037037037035
Messaging Knockout,0,0.14583333333333334
Messaging Knockout,1,0.3541666666666667
Messaging Knockout,2,0.1875
Messaging Knockout,3,0.14583333333333334
Messaging Knockout,4,0.16666666666666666
Messaging Knockout,0,0.03773584905660377
Messaging Knockout,1,0.3018867924528302
Messaging Knockout,2,0.37735849056603776
Messaging Knockout,3,0.1509433962264151
Messaging Knockout,4,0.1320754716981132
Messaging Knockout,0,0.1
Messaging Knockout,1,0.35
Messaging Knockout,2,0.225
Messaging Knockout,3,0.175
Messaging Knockout,4,0.15
Messaging Knockout,0,0.0
Messaging Knockout,1,0.36619718309859156
Messaging Knockout,2,0.352112676056338
Messaging Knockout,3,0.22535211267605634
Messaging Knockout,4,0.056338028169014086
Messaging Knockout,0,0.0
Messaging Knockout,1,0.23076923076923078
Messaging Knockout,2,0.23076923076923078
Messaging Knockout,3,0.38461538461538464
Messaging Knockout,4,0.15384615384615385
Messaging Knockout,0,0.2
Messaging Knockout,1,0.3
Messaging Knockout,2,0.4
Messaging Knockout,3,0.1
Messaging Knockout,4,0.0
Messaging Knockout,0,0.13861386138613863
Messaging Knockout,1,0.2079207920792079
Messaging Knockout,2,0.33663366336633666
Messaging Knockout,3,0.22772277227722773
Messaging Knockout,4,0.0891089108910891
Messaging Knockout,0,0.16129032258064516
Messaging Knockout,1,0.25806451612903225
Messaging Knockout,2,0.1935483870967742
Messaging Knockout,3,0.1935483870967742
Messaging Knockout,4,0.1935483870967742
Messaging Knockout,0,0.2222222222222222
Messaging Knockout,1,0.3333333333333333
Messaging Knockout,2,0.2222222222222222
Messaging Knockout,3,0.1111111111111111
Messaging Knockout,4,0.1111111111111111
Messaging Knockout,0,0.0
Messaging Knockout,1,0.23529411764705882
Messaging Knockout,2,0.29411764705882354
Messaging Knockout,3,0.11764705882352941
Messaging Knockout,4,0.35294117647058826
Messaging Knockout,0,0.0
Messaging Knockout,1,0.25
Messaging Knockout,2,0.3333333333333333
Messaging Knockout,3,0.16666666666666666
Messaging Knockout,4,0.25
Messaging Knockout,0,0.0
Messaging Knockout,1,0.3333333333333333
Messaging Knockout,2,0.3333333333333333
Messaging Knockout,3,0.1111111111111111
Messaging Knockout,4,0.2222222222222222
Messaging Knockout,0,0.10526315789473684
Messaging Knockout,1,0.5263157894736842
Messaging Knockout,2,0.2631578947368421
Messaging Knockout,3,0.10526315789473684
Messaging Knockout,4,0.0
Messaging Knockout,0,0.15306122448979592
Messaging Knockout,1,0.25510204081632654
Messaging Knockout,2,0.2857142857142857
Messaging Knockout,3,0.21428571428571427
Messaging Knockout,4,0.09183673469387756
Messaging Knockout,0,0.0967741935483871
Messaging Knockout,1,0.16129032258064516
Messaging Knockout,2,0.3225806451612903
Messaging Knockout,3,0.0967741935483871
Messaging Knockout,4,0.3225806451612903
Messaging Knockout,0,0.09375
Messaging Knockout,1,0.1875
Messaging Knockout,2,0.328125
Messaging Knockout,3,0.3125
Messaging Knockout,4,0.078125
Messaging Knockout,0,0.09923664122137404
Messaging Knockout,1,0.24427480916030533
Messaging Knockout,2,0.2595419847328244
Messaging Knockout,3,0.22900763358778625
Messaging Knockout,4,0.16793893129770993
Messaging Knockout,0,0.18055555555555555
Messaging Knockout,1,0.3194444444444444
Messaging Knockout,2,0.2222222222222222
Messaging Knockout,3,0.1527777777777778
Messaging Knockout,4,0.125
Messaging Knockout,0,0.047619047619047616
Messaging Knockout,1,0.2857142857142857
Messaging Knockout,2,0.40476190476190477
Messaging Knockout,3,0.19047619047619047
Messaging Knockout,4,0.07142857142857142
Messaging Knockout,0,0.028846153846153848
Messaging Knockout,1,0.2692307692307692
Messaging Knockout,2,0.3269230769230769
Messaging Knockout,3,0.23076923076923078
Messaging Knockout,4,0.14423076923076922
Messaging Knockout,0,0.22727272727272727
Messaging Knockout,1,0.3409090909090909
Messaging Knockout,2,0.29545454545454547
Messaging Knockout,3,0.11363636363636363
Messaging Knockout,4,0.022727272727272728
Messaging Knockout,0,0.11627906976744186
Messaging Knockout,1,0.27906976744186046
Messaging Knockout,2,0.3023255813953488
Messaging Knockout,3,0.17054263565891473
Messaging Knockout,4,0.13178294573643412
Messaging Knockout,0,0.07777777777777778
Messaging Knockout,1,0.28888888888888886
Messaging Knockout,2,0.28888888888888886
Messaging Knockout,3,0.2
Messaging Knockout,4,0.14444444444444443
Messaging Knockout,0,0.08333333333333333
Messaging Knockout,1,0.2916666666666667
Messaging Knockout,2,0.3333333333333333
Messaging Knockout,3,0.20833333333333334
Messaging Knockout,4,0.08333333333333333
Messaging Knockout,0,0.08256880733944955
Messaging Knockout,1,0.23853211009174313
Messaging Knockout,2,0.27522935779816515
Messaging Knockout,3,0.27522935779816515
Messaging Knockout,4,0.12844036697247707
Messaging Knockout,0,0.05084745762711865
Messaging Knockout,1,0.19491525423728814
Messaging Knockout,2,0.3474576271186441
Messaging Knockout,3,0.2966101694915254
Messaging Knockout,4,0.11016949152542373
Messaging Knockout,0,0.1694915254237288
Messaging Knockout,1,0.2711864406779661
Messaging Knockout,2,0.22033898305084745
Messaging Knockout,3,0.1016949152542373
Messaging Knockout,4,0.23728813559322035
Messaging Knockout,0,0.11392405063291139
Messaging Knockout,1,0.26582278481012656
Messaging Knockout,2,0.3037974683544304
Messaging Knockout,3,0.24050632911392406
Messaging Knockout,4,0.0759493670886076
Messaging Knockout,0,0.35714285714285715
Messaging Knockout,1,0.35714285714285715
Messaging Knockout,2,0.21428571428571427
Messaging Knockout,3,0.07142857142857142
Messaging Knockout,4,0.0
Messaging Knockout,0,0.0
Messaging Knockout,1,0.3333333333333333
Messaging Knockout,2,0.4444444444444444
Messaging Knockout,3,0.1111111111111111
Messaging Knockout,4,0.1111111111111111
Messaging Knockout,0,0.09615384615384616
Messaging Knockout,1,0.21153846153846154
Messaging Knockout,2,0.33653846153846156
Messaging Knockout,3,0.21153846153846154
Messaging Knockout,4,0.14423076923076922
Messaging Knockout,0,0.38461538461538464
Messaging Knockout,1,0.15384615384615385
Messaging Knockout,2,0.3076923076923077
Messaging Knockout,3,0.15384615384615385
Messaging Knockout,4,0.0
Messaging Knockout,0,0.20833333333333334
Messaging Knockout,1,0.5416666666666666
Messaging Knockout,2,0.20833333333333334
Messaging Knockout,3,0.041666666666666664
Messaging Knockout,4,0.0
Messaging Knockout,0,0.24
Messaging Knockout,1,0.36
Messaging Knockout,2,0.32
Messaging Knockout,3,0.04
Messaging Knockout,4,0.04
Messaging Knockout,0,0.08791208791208792
Messaging Knockout,1,0.2857142857142857
Messaging Knockout,2,0.32967032967032966
Messaging Knockout,3,0.21978021978021978
Messaging Knockout,4,0.07692307692307693
Messaging Knockout,0,0.2916666666666667
Messaging Knockout,1,0.375
Messaging Knockout,2,0.16666666666666666
Messaging Knockout,3,0.041666666666666664
Messaging Knockout,4,0.125
Messaging Knockout,0,0.13043478260869565
Messaging Knockout,1,0.36231884057971014
Messaging Knockout,2,0.2898550724637681
Messaging Knockout,3,0.15942028985507245
Messaging Knockout,4,0.057971014492753624
Messaging Knockout,0,0.11363636363636363
Messaging Knockout,1,0.1590909090909091
Messaging Knockout,2,0.29545454545454547
Messaging Knockout,3,0.25
Messaging Knockout,4,0.18181818181818182
Messaging Knockout,0,0.20987654320987653
Messaging Knockout,1,0.2716049382716049
Messaging Knockout,2,0.2345679012345679
Messaging Knockout,3,0.07407407407407407
Messaging Knockout,4,0.20987654320987653
Messaging Knockout,0,0.14516129032258066
Messaging Knockout,1,0.24193548387096775
Messaging Knockout,2,0.3225806451612903
Messaging Knockout,3,0.24193548387096775
Messaging Knockout,4,0.04838709677419355
Messaging Knockout,0,0.17857142857142858
Messaging Knockout,1,0.03571428571428571
Messaging Knockout,2,0.2857142857142857
Messaging Knockout,3,0.17857142857142858
Messaging Knockout,4,0.32142857142857145
Messaging Knockout,0,0.07017543859649122
Messaging Knockout,1,0.3508771929824561
Messaging Knockout,2,0.3508771929824561
Messaging Knockout,3,0.17543859649122806
Messaging Knockout,4,0.05263157894736842
Messaging Knockout,0,0.05555555555555555
Messaging Knockout,1,0.2638888888888889
Messaging Knockout,2,0.3888888888888889
Messaging Knockout,3,0.18055555555555555
Messaging Knockout,4,0.1111111111111111
Messaging Knockout,0,0.14285714285714285
Messaging Knockout,1,0.14285714285714285
Messaging Knockout,2,0.2857142857142857
Messaging Knockout,3,0.2857142857142857
Messaging Knockout,4,0.14285714285714285
Messaging Knockout,0,0.18181818181818182
Messaging Knockout,1,0.36363636363636365
Messaging Knockout,2,0.2727272727272727
Messaging Knockout,3,0.18181818181818182
Messaging Knockout,4,0.0
Messaging Knockout,0,0.0
Messaging Knockout,1,0.4444444444444444
Messaging Knockout,2,0.1111111111111111
Messaging Knockout,3,0.4444444444444444
Messaging Knockout,4,0.0
